timestep,a_x,a_y,a_z,a_mag,g_x,g_y,g_z,g_mag
226,-3518,496,7258,8080.897474909579,150,468,-363,610.9770863133903
227,-3664,70,7316,8182.5211273787745,175,543,-350,669.3085984805514
228,-3884,148,7002,8008.4557812352305,168,549,-305,650.1153743759643
229,-3952,572,7262,8287.468370980367,212,600,-231,676.9822745094586
230,-3992,594,7598,8603.400722969958,217,560,-242,647.4974903426267
231,-3920,376,7158,8169.7454060698865,217,600,-264,690.4961983964863
232,-4362,502,6090,7507.805804627607,165,759,-295,830.8616009902009
233,-3528,522,7624,8416.926042208046,260,777,-279,865.5460704087334
234,-5434,-52,856,5501.2540388533225,-4,1821,-314,1847.877972161582
235,-3464,302,8508,9191.113316677149,489,652,-184,835.5124176216652
236,-3744,1286,6582,7680.758816679507,252,1569,-478,1659.4423762216031
237,-4274,1620,8740,9863.015563203779,374,1290,-211,1359.594424819402
238,-4564,-2252,1144,5216.352748808309,312,1973,-215,2009.0540062427392
239,-3320,4420,15988,16916.7060623515,561,506,26,755.9318752374451
240,-684,1380,12562,12656.069690073611,753,-195,225,809.7277320186087
241,-2678,394,11250,11571.059588473303,151,1485,-100,1496.0033422422555
242,-3552,1128,6884,7828.061318104247,15,1711,-48,1711.7388819560067
243,-3744,-900,11598,12220.521265478,-281,2261,-426,2317.8779087777684
244,-4124,-522,5668,7028.946151451155,113,2381,-348,2408.948733368977
245,-5526,1506,7144,9156.497583683404,116,2669,-316,2690.143676460423
246,-4946,114,7368,8874.8710413166,439,3166,-240,3205.288910535211
247,-4978,1470,6050,7971.441776742773,116,3838,-177,3843.829991037585
248,-4654,488,5928,7552.419744691101,-126,4358,-39,4359.995527520642
249,-5000,436,6054,7863.9056454156425,171,4660,93,4664.063678810571
250,-4650,708,9412,10521.85858106827,320,4698,212,4713.655481682979
251,-5120,232,8342,9790.66841436273,-67,6123,188,6126.251872066639
252,-3816,-706,8562,9400.432755995864,-406,6968,174,6981.9865367959555
253,-6618,1586,7510,10134.762947400395,-808,8250,18,8289.492626210606
254,-6196,1748,10392,12224.548417017293,-525,8974,-206,8991.703787380899
255,-3874,492,4494,5953.652324413981,-1015,9548,-496,9614.600615730225
256,-7876,2420,8046,11516.33153395646,-1365,11556,-779,11662.384061588778
257,-2408,1564,7198,7749.565407169616,-1286,12873,-745,12958.508787665349
258,-3968,436,7062,8112.149160364348,-851,15732,-1575,15833.529297032925
259,-5130,1196,5940,7939.201219266331,-40,16741,-1186,16783.005600904744
260,-10074,458,9812,14070.20198859988,2873,18154,-1147,18415.684999478028
261,-16314,3030,8198,18507.6929950764,3704,17641,-1327,18074.441236176568
262,-14964,2712,12012,19379.483584450853,5799,15862,-1271,16936.5547263899
263,-15682,1368,13572,20784.507018450062,7455,14225,-2512,16255.392766709758
264,-7034,8458,25124,27426.8170956821,6707,12445,-3050,14462.516171123198
265,-7378,10162,14302,19032.82249168525,3624,9628,-6610,12227.994929668559
266,-4116,8212,27268,28773.637656716266,2909,7162,-5588,9538.462611972644
267,-32768,9776,21436,40358.56905292853,1482,4383,-3737,5947.451723217265
268,-1702,11984,32767,34931.208811033146,1442,177,-3395,3692.792710131453
269,-3840,9494,21344,23673.78237629129,-963,-3446,-3221,4814.262768067401
270,170,4022,13994,14561.50472993777,-986,-5671,-2849,6422.556967439059
271,672,3994,11824,12498.423740616256,-343,-6408,-2031,6730.904396884566
272,1048,4100,8764,9732.214547573434,170,-6905,-1481,7064.0842293959095
273,338,4644,6248,7792.206619437141,151,-6893,-938,6958.167431155994
274,-770,5484,8442,10096.26267487133,213,-8062,-146,8066.134700090248
275,-1938,5876,8564,10565.288259200504,-243,-8541,293,8549.47828817642
276,-3334,5670,8732,10932.167214235244,-963,-9458,909,9550.257274021473
277,-4938,4718,9962,12078.278519722915,-1146,-10207,1323,10355.988315945511
278,-966,4192,8804,9798.797681348462,-1213,-10872,1844,11093.786053462542
279,-6122,2912,5118,8494.2658305471,-802,-10911,1962,11114.970490289212
280,-5344,2438,5986,8386.559246794837,-183,-11156,2400,11412.70454362155
281,-6290,2334,6376,9255.540610898966,335,-11201,2533,11488.721208211124
282,-7654,1762,5842,9788.632386600286,885,-11240,2685,11590.084123939741
283,-7372,1384,6672,10038.795943737476,1235,-11183,2699,11570.190793586768
284,-8780,1330,7100,11369.577828573932,1695,-10960,2826,11444.688768157916
285,-9450,950,8154,12517.696113902111,2032,-10890,2954,11465.044265069368
286,-10682,1050,8756,13851.90095257687,2378,-10994,3270,11713.915656175777
287,-11086,1328,9264,14508.090019020425,2457,-11088,3465,11873.78701173303
288,-11476,2108,9738,15197.726277308719,2271,-11121,3835,11980.872547523406
289,-11816,928,8784,14752.548796733396,1974,-11097,4076,11985.56886426339
290,-11604,680,9590,15069.283858232946,1708,-10889,4420,11875.351994783145
291,-11996,172,10160,15721.297656364119,1692,-10725,4620,11799.698682593553
292,-12250,-530,10260,15987.839128537666,2163,-10670,4635,11832.611461549814
293,-11938,-472,9936,15539.070885995727,2593,-10541,4525,11760.610315795691
294,-11824,-222,9686,15286.427182307842,3270,-10193,4066,11450.87354746353
295,-11774,286,9554,15165.348265041592,3580,-9869,3643,11112.380932995413
296,-12220,1022,10468,16123.024158017008,3749,-9382,2953,10526.021755630189
297,-14268,2212,13068,19474.12108414652,3611,-9245,2490,10232.76336089133
298,-15406,3404,13224,20586.5545441679,3193,-9510,1794,10190.867725566846
299,-16292,2914,12998,21044.444967734362,3003,-9798,1565,10366.679217570107
300,-16552,1866,10824,19864.78381458001,3281,-9925,1574,10571.095591280971
301,-16490,-372,6134,17597.853278170038,3845,-9754,1878,10651.35789465362
302,-17690,-1166,3278,18028.89181286526,4597,-9308,2303,10633.676786511804
303,-20874,-2076,-994,21000.516374603743,5325,-8400,2695,10304.302499441676
304,-21978,-3242,-5372,22856.10272990564,5377,-7358,2826,9541.413364905642
305,-22504,-5592,-11934,26079.12644242517,5263,-6230,2745,8605.062114825203
306,-21918,-5444,-14426,26798.233822399565,4718,-4597,2464,7033.009953071302
307,-20108,-2948,-14710,25087.974569502418,2466,-1434,1129,3067.9232389354197
308,-19706,-1378,-9738,22023.94070097357,-777,1348,-501,1634.5745623861883
309,-19074,-198,-3966,19482.962711045773,-2598,2462,-1199,3774.7382690724394
310,-17096,-84,-1280,17144.056462809494,-3504,3151,-1418,4921.132085201534
311,-15114,148,1838,15226.06791000224,-3087,3542,-876,4779.404670039983
312,-13236,2040,3694,13892.405551235539,-2281,3690,-115,4339.618185969821
313,-9536,4240,3880,11134.060175874749,-1756,4095,1189,4611.537921344679
314,9550,10760,7646,16292.372939507617,-1578,4616,2110,5315.039040308171
315,15666,27556,15212,35159.09037503672,-3272,5679,3095,7248.175632529886
316,25756,-8576,-9704,28828.57832082602,-6846,9846,-3387,12461.268033390503
317,-9072,-22342,15582,28710.013444789605,-5557,12971,-3739,14598.192045592496
